x_2a_over_lambda,lambda_nm,total,incoherent,cross_term,S1_real,S1_imag,S2_real,S2_imag
0.55,909.090909090909,23.96626047934472,20.007015303522735,3.9592451758219838,2.2433998129813606,-1.8179120070881645,-0.8894842559827613,3.851938661414975
0.5525,904.9773755656108,24.256600176842156,20.42659351795128,3.830006658890877,2.2317500623771167,-1.8275107416986607,-0.9542306941762662,3.876279157541389
0.5549999999999999,900.900900900901,24.536590897854275,20.85175448712596,3.684836410728316,2.2198353628658833,-1.8372237989618048,-1.0202609769565334,3.8977683501014293
0.5575,896.8609865470852,24.80504953689246,21.28162880020393,3.523420736688532,2.207657310051358,-1.8470445414443657,-1.0874155045124871,3.916280470131792
0.56,892.8571428571428,25.060047371970832,21.715546255402092,3.3445011165687397,2.1952586654123136,-1.8568386911125092,-1.1557820007576471,3.931565185243049
0.5625,888.8888888888889,25.299781428090412,22.15266355615366,3.1471178719367536,2.182669557001307,-1.8665151318107855,-1.2253582588737424,3.9433936442056363
0.565,884.9557522123895,25.52259062149978,22.591973884178824,2.930616737320957,2.1699090940519237,-1.8760185949175872,-1.296058754319925,3.9515656494514513
0.5675,881.0572687224669,25.72889933668268,23.031832713284732,2.697066623397948,2.156895147987823,-1.8855971153299964,-1.3671490935973174,3.9562772314139583
0.5700000000000001,877.1929824561403,25.917688836547647,23.47109398655638,2.4465948499912678,2.143628795753234,-1.8952435031949768,-1.438408319471905,3.957471161314562
0.5725,873.3624454148471,26.08802652780942,23.908592364572726,2.1794341632366923,2.1301109863060756,-1.9049510342704374,-1.5096083852038478,3.9551103390653712
0.575,869.5652173913044,26.239071056892687,24.34315289797707,1.8959181589156167,2.1163425533861324,-1.9147129585498568,-1.580517037603871,3.9491778174481955
0.5775,865.8008658008658,26.370081712667208,24.77360165360954,1.5964800590576687,2.102324156051136,-1.9245225347901822,-1.6508998743137782,3.939677331156272
0.5800000000000001,862.0689655172413,26.48043079747267,25.19878293717128,1.2816478603013906,2.088056634425691,-1.9343727730316829,-1.7205237564985305,3.926633452103905
0.5825,858.3690987124463,26.56960879628153,25.617564649573918,0.9520441467076104,2.073540518416151,-1.9442569634012643,-1.7891574122293257,3.9100919591869654
0.585,854.7008547008547,26.63722887480902,26.028851833383367,0.6083770414256513,2.05877623906584,-1.954168314683455,-1.8565746796513836,3.8901190121937814
0.5875,851.063829787234,26.683025863578226,26.431594188939716,0.25143167463851057,2.043764008949243,-1.964099846727321,-1.922556571885535,3.8668000412857397
0.5900000000000001,847.4576271186439,26.70687373537124,26.824805708528825,-0.11793197315758519,2.028504095262276,-1.9740449205535107,-1.986893440514975,3.840240354268319
0.5925,843.8818565400843,26.70877324379167,27.207568359653767,-0.498795115862098,2.0129967420739714,-1.9839966476292186,-2.0493875033624414,3.8105623631491885
0.595,840.3361344537816,26.688852663523313,27.57904029198601,-0.8901876284626979,1.997242091844397,-1.9939481458386763,-2.109854127016935,3.777904583827447
0.5975,836.8200836820083,26.647363285775924,27.93846051606775,-1.2910972302918253,1.981240029250109,-2.0038926714547647,-2.1681228567761637,3.74242016233982
0.6000000000000001,833.3333333333333,26.584677188567063,28.28515863803632,-1.7004814494692582,1.9649904113233256,-2.013823518638268,-2.2240394268612205,3.7042750080846663
0.6025,829.8755186721992,26.501275920409626,28.61855615543404,-2.1172802350244133,1.9484930027469847,-2.02373388123223,-2.27746673927662,3.6636453660387387
0.605,826.4462809917355,26.39773766048588,28.938166762447516,-2.540429101961635,1.9317474957803737,-2.0336166331144994,-2.3282857536325534,3.6207151381990657
0.6074999999999999,823.045267489712,26.275261703374408,29.244113569825004,-2.9688518664505956,1.914773872000597,-2.043469731904107,-2.376449596093252,3.575698742133938
0.61,819.672131147541,26.13477556770403,29.53629525354341,-3.401519685839382,1.8975787992402549,-2.053288137663874,-2.4218973428229016,3.528794603392798
0.6125,816.3265306122448,25.979250137943247,29.816715793170136,-3.8374656552268895,1.8802488642769517,-2.063084835389262,-2.4648053257715024,3.4802772898669705
0.615,813.0081300813008,25.80670681719775,30.082440932728773,-4.275734115531023,1.862670033550736,-2.0728283884044183,-2.504823179825875,3.4302201785514557
0.6174999999999999,809.7165991902834,25.618074231733928,30.33343732649099,-4.715363094757063,1.8448414645821696,-2.082511995451413,-2.54191990119661,3.3788194990253384
