x_2a_over_lambda,lambda_nm,material_covered,ED_exact,ED_approx,ED_error_percent,MD_exact,MD_approx,MD_error_percent,EQ_exact,EQ_approx,EQ_error_percent,MQ_exact,MQ_approx,MQ_error_percent,total_exact,total_approx
0.405,1234.567901234568,1.0,10.180602355799572,24.695568668526953,142.57472991722005,1.0735270778618227,321.32618972783337,29831.81973274757,0.2846652286917616,0.2656928907415782,6.664789386949266,0.021080309038667176,1.145719444378797,5335.022049616196,11.559874971391823,347.4331707314807
0.4075,1226.993865030675,1.0,10.231786779527297,25.656922745887645,150.75701144617653,1.1027109524705376,332.25852294047746,30031.06219685931,0.30430297236620907,0.2828529875302126,7.048891001361233,0.022216537878703646,1.2142235262733116,5365.403893723888,11.661017242242748,359.4125222001686
0.41000000000000003,1219.5121951219512,1.0,10.279435154894816,26.6499978873847,159.25546964216824,1.132421839674003,343.4850768682544,30231.901490626096,0.32520344936067974,0.30101099362727957,7.439175624047141,0.023404287454636213,1.2863390945214006,5396.168584558152,11.760464731384134,371.7224248437878
0.4125,1212.1212121212122,1.0,10.324030034499522,27.675742386888864,168.07111461711764,1.1626708850233611,355.00027134872676,30433.16943956964,0.3474453647906115,0.32021943403091274,7.836032228004108,0.024645242204351745,1.3621868178789966,5427.179674616742,11.858791526517846,384.3584199875255
0.41500000000000004,1204.8192771084337,1.0,10.365662491097904,28.735057828114385,177.21390555395985,1.1934624425416942,366.80927477898405,30634.882113072388,0.37110947133066335,0.3405326316775826,8.239304575936414,0.025941299383049628,1.4419320391890666,5458.441841703748,11.956175704353312,397.32679727796506
0.4175,1197.6047904191616,1.0,10.404031314372986,29.8287865812402,186.70412150751852,1.224792324146927,378.92869417388744,30838.199619908046,0.39627758170761357,0.36200659970264615,8.648226290593865,0.02729458792929563,1.525792531503882,5490.091835994452,12.052395808156822,410.64527988633415
0.42000000000000004,1190.4761904761904,1.0,10.439224602396507,30.95786327095857,196.55328293110628,1.2566636702258016,391.36436969291617,31043.127549998677,0.42303875318144024,0.38470059271608936,9.062564641426063,0.028707115981859842,1.6139523485460576,5522.133374756006,12.147634141785609,424.3208859051369
0.4225,1183.4319526627219,1.0,10.471330260952172,32.123244192343805,206.7732885107455,1.2890794831561325,404.12209153780174,31249.66437820923,0.4514868494770734,0.40867654940392295,9.482070213724878,0.030180939539697194,1.70659969564937,5554.561195501114,12.242077533125075,438.3606119751988
0.42500000000000004,1176.470588235294,1.0,10.500434539701489,33.32590488292498,217.37643577436546,1.3220428899867476,417.20832610457944,31457.85105495039,0.48172065357589633,0.43399916896301177,9.906464308440931,0.031718174843284486,1.8039346475765052,5587.384776991486,12.335916258107417,452.77216480404394
0.4275,1169.5906432748538,1.0,10.526623739293587,34.566845142418096,228.3754221535212,1.3555567066687275,430.62896987210803,31667.68391566415,0.5138442204468124,0.4607360689243648,10.335457597687393,0.033320979900477776,1.906161988383316,5620.606038827761,12.429345646309605,467.5627130718338
0.43,1162.7906976744187,1.0,10.549982829811086,35.84708685945202,239.78336683315646,1.3896236883551791,444.39010018606587,31879.168454739418,0.5479670029280035,0.4889578725342735,10.76873791276135,0.03499156589417118,2.013493539459625,5654.225305461476,12.52256508698844,482.7396384575118
0.4325,1156.0693641618498,1.0,10.570595181456886,37.16767411823959,251.6138257138041,1.4242465515042437,458.49800295030616,32092.319684120368,0.5842040426642352,0.5187383223389953,11.205968385067406,0.03673219911304686,2.1261504557993356,5688.247115986453,12.615777974738412,498.3105658466841
0.435,1149.4252873563219,1.0,10.588542532743588,38.529673878879294,263.8808056890895,1.459427945939261,472.9592118475258,32307.16427032223,0.6226761766498223,0.5501544039348663,11.646787758148088,0.0385452005353131,2.244361600770777,5722.67459917509,12.709191855867985,514.2834017311108
0.4375,1142.857142857143,1.0,10.60390538515758,39.934178077243544,276.5987777780431,1.495170319106046,487.7799570697882,32523.705195099727,0.6635102952523726,0.5832864912437028,12.090815256778479,0.04043293965053578,2.368363729985472,5757.510610050558,12.803018939166535,530.6657853682609
0.44,1136.3636363636363,1.0,10.61676228618939,41.38230236173857,289.7826968921583,1.5314760610446552,502.96665418711757,32741.953392600364,0.7068394676741423,0.6182184571501567,12.537643209934693,0.04239784211823308,2.498401197181663,5792.755556319296,12.89747565702642,547.465576203188
0.4425,1129.9435028248588,1.0,10.62719026556011,42.87518833573514,303.4480164967234,1.5683473651330893,518.5256197957341,32961.9116226036,0.7528031904163563,0.6550378298792634,12.986841950420189,0.04444238310000188,2.6347265416727095,5828.409679886401,12.992783204209557,564.6905725030211
0.445,1123.5955056179776,1.0,10.635263383095031,44.41399914491615,317.61071207237904,1.6057865959448918,534.4639140782501,33183.6203408309,0.8015473469757792,0.6938358709372129,13.437943054138898,0.04656910769494391,2.777606013581263,5864.481930330892,13.089166433710647,582.3493551076848
0.4475,1117.31843575419,1.0,10.641054732672767,45.999927218752326,332.2872908219531,1.643795737988083,550.7879778868084,33407.081516158636,0.8532246530348184,0.734707809540029,13.890461682423162,0.048780601976376035,2.9273103259281767,5900.9721227832415,13.186855725672045,600.449923241029
0.45,1111.111111111111,1.0,10.644635028051338,47.634190012068814,347.4948167460935,1.6823767583798177,567.5044519359826,33632.30455718536,0.9079945855025445,0.7777529324596628,14.34387992201488,0.05107951288690121,3.084121049043742,5937.882655366182,13.286085884820602,619.0005159295548
0.4525,1104.9723756906078,1.0,10.646073271641864,49.31803324489508,363.2509281733426,1.7215314112319604,584.6198754046629,33859.291802076266,0.9660236019511594,0.823074773784427,14.797653792102663,0.05346853773133187,3.248328656459043,5975.215059707093,13.387096822556316,638.0093120798015
0.455,1098.901098901099,1.0,10.645435327090825,51.052725319625246,379.5738619509973,1.761261649221737,602.1416607153825,34088.086760502374,1.027484917613347,0.8707811903348855,15.251194892714775,0.05595044917256154,3.4202379066011352,6012.976673435612,13.49013234309847,657.4854051319438
0.4575,1092.8961748633878,1.0,10.64278603125768,52.83956689571593,396.4824693508545,1.8015690072676562,620.0764963303479,34318.69247466601,1.092558957827985,0.9209846491136932,15.703894740415919,0.058528059395724016,3.6001592135803087,6051.167919712937,13.595442055749045,677.4372070887579
0.45999999999999996,1086.9565217391305,1.0,10.637926475069964,54.679560557533634,414.00581387430594,1.8424608318105133,638.4864144643127,34554.00205207605,1.161411441903941,0.9737975479583909,16.153956055227788,0.06120533997517371,3.788743493341073,6090.217217775237,13.703004088759592,697.9285160631458
0.4625,1081.081081081081,1.0,10.63070207393059,56.57373845503943,432.1731157697836,1.8839431422118436,657.4298080751926,34796.47820811286,1.2342115285038666,1.0293367796083084,16.59964634619084,0.06398629424830529,3.9866544287305072,6130.4818173402755,13.812843038894606,719.0195377385708
0.46499999999999997,1075.268817204301,1.0,10.621530128746443,58.52389090083278,450.99303199679196,1.9260088264063686,676.8418132037713,35042.19685413656,1.3111837479428268,1.0877350452931687,17.04175352998666,0.06687252697921657,4.193832310114686,6171.383032105388,13.925595230074855,740.6472714600119
0.4675,1069.51871657754,1.0,10.610578923466468,60.53156532581727,470.483154240953,1.9686565285323068,696.706407551768,35289.94219937309,1.3925431128116577,1.149126548641271,17.480002014365564,0.0698666394580996,4.410505433420898,6212.748784870302,14.041645204268532,762.7976048596474
0.47,1063.8297872340427,1.0,10.597902781657492,62.59819895929531,490.66591050106877,2.011887344162107,717.0316881877727,35539.75340211685,1.4785014154454479,1.2136488673095585,17.913580965770922,0.07297176747583473,4.637052675467225,6254.584568618031,14.161263308740882,785.4805886898448
0.47250000000000003,1058.2010582010582,1.0,10.583554618604381,64.72526476529475,511.564517761518,2.0557019480268983,737.8249918221701,35791.63266252428,1.5692764621125757,1.2814452924167137,18.341648310227043,0.07619108788088294,4.87385555087985,6296.884053551815,14.284724116624739,808.7055574307614
0.475,1052.6315789473686,1.0,10.567584993838096,66.91426249492088,533.2029743213633,2.1001011807263397,759.0942602990506,36045.604186390236,1.6650910621507733,1.3526648824374274,18.763308915356834,0.07952785707359523,5.121324401927334,6339.6610073223155,14.412305093788804,832.4825120783362
0.47750000000000004,1047.1204188481674,1.0,10.550043748932435,69.16672689276609,555.6060670342254,2.1450856582547058,780.8472212035949,36301.680193923414,1.766172916065634,1.4274627958461517,19.17763074829619,0.08298538228978712,5.379870833244881,6382.913839522039,14.544287705542562,856.8212817254521
0.48,1041.6666666666667,1.0,10.530977528418587,71.4842244477455,578.7995155705182,2.190655820995182,803.0920222288235,36559.89036397287,1.8727535866552878,1.5060004472282553,19.58363033131596,0.08656703451712233,5.649921480550421,6426.643210162071,14.68095397058618,881.7321686043476
0.48250000000000004,1036.2694300518133,1.0,10.51043153468314,73.8683535796787,602.8099021046107,2.2368120935912463,825.8366543097318,36820.25166869671,1.985067692552591,1.588445722830465,19.9802742853626,0.09027625272731726,5.931924291894093,6470.857908570583,14.822587573554294,907.225377904135
0.485,1030.9278350515465,1.0,10.488449761805509,76.32075038441116,627.6647370933596,2.2835545923332083,849.0890063952346,37082.77676592277,2.1033522450848645,1.6749733026388305,20.366486091289485,0.09411652406376725,6.2263332617025755,6515.558026222915,14.969473123287349,933.3110633439871
