lambda_nm,jc_n,jc_k,olmon_n,olmon_k,mcpeak_n,mcpeak_k,mean_n,mean_k
805.000000,0.155054,4.949204,0.124650,5.046000,0.105083,5.268353,0.128262,5.087853
810.000000,0.156590,4.990756,0.124900,5.088000,0.105938,5.313024,0.129143,5.130593
815.000000,0.158126,5.032307,0.125250,5.130000,0.105138,5.360208,0.129505,5.174172
820.000000,0.159662,5.073859,0.125600,5.172000,0.104339,5.407392,0.129867,5.217750
825.000000,0.160550,5.114904,0.126050,5.213500,0.104437,5.449917,0.130346,5.259440
830.000000,0.161255,5.155807,0.126500,5.255000,0.104535,5.492443,0.130763,5.301083
835.000000,0.161961,5.196709,0.127000,5.296500,0.105768,5.534745,0.131576,5.342651
840.000000,0.162666,5.237612,0.127500,5.338000,0.107001,5.577047,0.132389,5.384220
845.000000,0.163371,5.278515,0.128050,5.379000,0.109007,5.618158,0.133476,5.425224
850.000000,0.164076,5.319417,0.128600,5.420000,0.111013,5.659269,0.134563,5.466229
855.000000,0.164781,5.360320,0.129200,5.460500,0.110888,5.704233,0.134956,5.508351
860.000000,0.165487,5.401223,0.129800,5.501000,0.110763,5.749197,0.135350,5.550473
865.000000,0.166192,5.442126,0.130500,5.542000,0.111401,5.789884,0.136031,5.591336
870.000000,0.166897,5.483028,0.131200,5.583000,0.112039,5.830571,0.136712,5.632200
875.000000,0.167602,5.523931,0.131900,5.623500,0.113106,5.871763,0.137536,5.673065
880.000000,0.168307,5.564834,0.132600,5.664000,0.114173,5.912955,0.138360,5.713929
885.000000,0.169013,5.605736,0.133400,5.704500,0.115089,5.952911,0.139167,5.754382
890.000000,0.169718,5.646639,0.134200,5.745000,0.116005,5.992867,0.139974,5.794835
895.000000,0.171630,5.685402,0.135000,5.785000,0.116417,6.037431,0.141016,5.835944
900.000000,0.174348,5.722739,0.135800,5.825000,0.116828,6.081994,0.142325,5.876578
905.000000,0.177065,5.760076,0.136650,5.865000,0.116913,6.122907,0.143543,5.915994
910.000000,0.179783,5.797413,0.137500,5.905000,0.116997,6.163821,0.144760,5.955411
915.000000,0.182500,5.834750,0.138400,5.945000,0.118227,6.202698,0.146376,5.994149
920.000000,0.185217,5.872087,0.139300,5.985000,0.119457,6.241576,0.147991,6.032888
925.000000,0.187935,5.909424,0.140250,6.024500,0.120046,6.285063,0.149410,6.072996
930.000000,0.190652,5.946761,0.141200,6.064000,0.120636,6.328551,0.150829,6.113104
935.000000,0.193370,5.984098,0.142150,6.103500,0.121597,6.369467,0.152372,6.152355
940.000000,0.196087,6.021435,0.143100,6.143000,0.122559,6.410384,0.153915,6.191606
945.000000,0.198804,6.058772,0.144100,6.182500,0.123281,6.451088,0.155395,6.230787
950.000000,0.201522,6.096109,0.145100,6.222000,0.124003,6.491793,0.156875,6.269967
955.000000,0.204239,6.133446,0.146100,6.261500,0.123969,6.532892,0.158103,6.309279
960.000000,0.206957,6.170783,0.147100,6.301000,0.123935,6.573991,0.159331,6.348591
965.000000,0.209674,6.208120,0.148200,6.340000,0.125090,6.618434,0.160988,6.388851
970.000000,0.212391,6.245457,0.149300,6.379000,0.126244,6.662878,0.162645,6.429111
975.000000,0.215109,6.282793,0.150350,6.418000,0.127109,6.700466,0.164189,6.467086
980.000000,0.217826,6.320130,0.151400,6.457000,0.127975,6.738054,0.165734,6.505062
985.000000,0.220481,6.357692,0.152500,6.496000,0.128959,6.778605,0.167313,6.544099
990.000000,0.222885,6.396154,0.153600,6.535000,0.129943,6.819156,0.168809,6.583437
995.000000,0.225288,6.434615,0.154750,6.574000,0.131127,6.861842,0.170389,6.623486
1000.000000,0.227692,6.473077,0.155900,6.613000,0.132312,6.904528,0.171968,6.663535
1005.000000,0.230096,6.511538,0.157050,6.651500,0.133110,6.941423,0.173419,6.701487
1010.000000,0.232500,6.550000,0.158200,6.690000,0.133908,6.978319,0.174869,6.739440
1015.000000,0.234904,6.588462,0.159400,6.729000,0.134654,7.019964,0.176319,6.779142
1020.000000,0.237308,6.626923,0.160600,6.768000,0.135401,7.061610,0.177770,6.818844
1025.000000,0.239712,6.665385,0.161800,6.806500,0.136775,7.101592,0.179429,6.857826
1030.000000,0.242115,6.703846,0.163000,6.845000,0.138149,7.141574,0.181088,6.896807
1035.000000,0.244519,6.742308,0.164250,6.883500,0.138043,7.182021,0.182271,6.935943
1040.000000,0.246923,6.780769,0.165500,6.922000,0.137938,7.222467,0.183454,6.975079
1045.000000,0.249327,6.819231,0.166750,6.960500,0.138592,7.262308,0.184890,7.014013
1050.000000,0.251731,6.857692,0.168000,6.999000,0.139247,7.302150,0.186326,7.052947
1055.000000,0.254135,6.896154,0.169250,7.037000,0.136648,7.354383,0.186677,7.095846
1060.000000,0.256538,6.934615,0.170500,7.075000,0.134049,7.406617,0.187029,7.138744
1065.000000,0.258942,6.973077,0.171800,7.113500,0.134883,7.444712,0.188542,7.177096
1070.000000,0.261346,7.011538,0.173100,7.152000,0.135718,7.482808,0.190055,7.215449
1075.000000,0.263750,7.050000,0.174400,7.190000,0.138040,7.519820,0.192063,7.253273
1080.000000,0.266154,7.088462,0.175700,7.228000,0.140363,7.556831,0.194072,7.291098
1085.000000,0.268558,7.126923,0.177000,7.266000,0.139525,7.596931,0.195027,7.329951
1090.000000,0.271250,7.165547,0.178300,7.304000,0.138686,7.637030,0.196079,7.368859
1095.000000,0.274375,7.204414,0.179650,7.342000,0.138552,7.678184,0.197526,7.408199
1100.000000,0.277500,7.243281,0.181000,7.380000,0.138419,7.719337,0.198973,7.447539
