x_alaee,x_mie,C_pathA,C_table1,C_mie_l12,A_ED,T_ED,M_ED,A_MD,T_MD,M_MD,A_EQ,T_EQ,M_EQ,A_MQ,T_MQ,M_MQ
0.10080536912751677,0.31668940709341403,0.0005792589344359725,0.0005792585653137646,0.000579293276073571,0.0005787784718228433,0.0005787784718228437,0.0005788196591003888,4.544292784219219e-07,4.5442927842192157e-07,4.4795706390651354e-07,2.6027464480340808e-08,2.5658342272038313e-08,2.5654091832934992e-08,5.870226996694187e-12,5.870226996694167e-12,5.817442791841905e-12
0.10268456375838926,0.3225930711404284,0.0006486285831210762,0.0006486281224750712,0.0006486696750857947,0.000648048603403804,0.0006480486034038038,0.0006480982646941141,5.486567740430602e-07,5.486567740430598e-07,5.405531761931329e-07,3.131532917706402e-08,3.085468317205079e-08,3.0849673743175465e-08,7.614052178676686e-12,7.61405217867674e-12,7.541744195632059e-12
0.10456375838926174,0.32849673518744277,0.0007248762134521178,0.0007248756408954531,0.0007249251982549671,0.0007241783858844997,0.0007241783858844996,0.0007242380556248365,6.602659693807072e-07,6.602659693807071e-07,6.501595622856711e-07,3.755176829527534e-08,3.6979211630645855e-08,3.697333624087082e-08,9.829942100813857e-12,9.829942100813846e-12,9.731604127973229e-12
0.10644295302013422,0.33440039923445714,0.0008085503087670349,0.0008085495998655111,0.0008086084912134,0.0008077133233799389,0.0008077133233799389,0.0008077847783170436,7.920874692120333e-07,7.920874692120331e-07,7.795308704763674e-07,4.4885284112351243e-08,4.4176382588512464e-08,4.416952493986181e-08,1.2633771696158155e-11,1.2633771696158207e-11,1.2500940186605318e-11
0.1083221476510067,0.3403040632814715,0.0009002332507368912,0.0009002323762997619,0.0009003021163019754,0.000899232394532412,0.0008992323945324125,0.0008993176866758482,9.473556654153742e-07,9.473556654153739e-07,9.318116675503529e-07,5.348437200497801e-08,5.260993487523233e-08,5.2601969795317295e-08,1.6167058810765794e-11,1.6167058810765765e-11,1.5988781488432014e-11
0.11020134228187918,0.34620772732848587,0.0010005428740076125,0.001000541799269999,0.0010006241086492958,0.0009993495547460532,0.0009993495547460534,0.0009994510481145737,1.1297588676069552e-06,1.1297588676069545e-06,1.110584321909759e-06,6.353979190606334e-08,6.246505429212517e-08,6.245584859135517e-08,2.0602046304440296e-11,2.060204630444033e-11,2.0364220852947377e-11
0.11208053691275167,0.3521113913755003,0.0011101340717932754,0.0011101327554759867,0.001110229583226746,0.0011087152837514344,0.0011087152837514344,0.001108835695272614,1.3434948419619062e-06,1.343494841961906e-06,1.3199219731506874e-06,7.526705219980147e-08,7.395073491118975e-08,7.394014874768349e-08,2.6147679275379605e-11,2.614767927537963e-11,2.583223360764586e-11
0.11395973154362415,0.35801505542251466,0.0012297004535396791,0.0012296988467706432,0.001229812393983068,0.0012280181790903506,0.0012280181790903508,0.0012281606240407805,1.5933322708315996e-06,1.593332270831599e-06,1.5644470600733508e-06,8.89091218804496e-08,8.730235284454814e-08,8.729024171786759e-08,3.305661630545531e-11,3.305661630545529e-11,3.264049632852699e-11
0.11583892617449663,0.36391871946952903,0.0013599760557715193,0.0013599741008513155,0.001360106846153416,0.0013579865960603565,0.0013579865960603565,0.0013581546384622408,1.8846786900296706e-06,1.884678690029671e-06,1.8493959188061617e-06,1.0473938770072216e-07,1.0278446749687797e-07,1.0277068501240036e-07,4.1633432428859155e-11,4.1633432428858826e-11,4.1087356663641444e-11
0.11771812080536911,0.3698223835165434,0.0015017371072279032,0.0015017347362200274,0.001501889462825567,0.0014993903346010931,0.0014993903346010925,0.001499588043021089,2.223655508643665e-06,2.223655508643664e-06,2.180690005684519e-06,1.230648739736915e-07,1.2069386609885695e-07,1.2067826766808014e-07,5.2244192533284835e-11,5.2244192533284835e-11,5.1531125274682356e-11
