x,fano_profile
1.33928,1.0719068087758319
1.3394599999999999,1.0539606626769291
1.33964,1.0359883397779257
1.33982,1.0179985421180953
1.3399999999999999,1.0000000000000222
1.34018,0.9820014578819269
1.34036,0.9640116602220965
1.34054,0.946039337323093
1.34072,0.9280931912241903
1.3409,0.9101818816895885
1.34108,0.8923140123400194
1.34126,0.8744981169737495
1.34144,0.8567426461225122
1.34162,0.8390559538865547
1.3417999999999999,0.8214462850907841
1.34198,0.8039217628027827
1.34216,0.7864903762514094
1.3423399999999999,0.76915996918189
1.34252,0.751938228681467
1.3427,0.734832674507115
1.34288,0.717850648943508
1.34306,0.7009993072173639
1.34324,0.6842856084907766
1.34342,0.667716307453747
1.3436,0.6512979465323676
1.34378,0.6350368487266453
1.34396,0.618939111088875
1.34414,0.603010598849898
1.34432,0.5872569401981271
1.3445,0.5716835217132703
1.3446799999999999,0.5562954844532939
1.34486,0.5410977206909331
1.34504,0.5260948712933905
1.3452199999999999,0.5112913237358119
1.3454,0.4966912107372663
1.34558,0.4822984095056757
1.3457599999999998,0.46811654157557536
1.34594,0.4541489732211495
1.34612,0.4403988164252165
1.3463,0.4268689303827717
1.34648,0.4135619235169041
1.34666,0.40048015598318915
1.34684,0.3876257426380827
1.3470199999999999,0.3750005564453871
1.3472,0.3626062322946262
1.34738,0.35044417120461313
1.3475599999999999,0.33851554488470903
1.34774,0.3268213006264828
1.34792,0.31536216649839327
1.3481,0.3041386568157903
1.34828,0.29315107785924754
1.34846,0.28239953381417043
1.34864,0.2718839329054539
1.34882,0.2616039937010397
1.349,0.25155925155925724
1.34918,0.24174906519554057
1.34936,0.23217262334458713
1.34954,0.2228289514952457
1.34972,0.21371691867632886
1.3498999999999999,0.20483524427221322
1.35008,0.1961825048484293
1.35026,0.18775714096847196
1.3504399999999999,0.17955746398383982
1.35062,0.1715816627806995
1.3508,0.16382781046764042
1.3509799999999998,0.1562938709898121
1.35116,0.14897770565610202
1.35134,0.14187707956706777
1.35152,0.1349896679321457
1.3517,0.12831306226602004
1.35188,0.12184477645479957
1.35206,0.1155822526838719
1.3522399999999999,0.10952286721997172
1.35242,0.10366393604115749
1.3526,0.09800272030925793
1.3527799999999999,0.09253643167999963
1.35296,0.08726223744704269
1.35314,0.08217726551689891
1.3533199999999999,0.07727860921225682
1.3535,0.07256333190210788
1.35368,0.0680284714576928
1.35386,0.06367104453372412
1.35404,0.05948805067510924
1.35422,0.055476476249752285
1.3544,0.051633298208641334
1.35458,0.04795548767468394
1.35476,0.044440013362304465
1.35494,0.04108384483016549
1.3551199999999999,0.03788395556958635
1.3553,0.03483732593165224
1.35548,0.031940945896256054
1.3556599999999999,0.02919181768644207
1.35584,0.026586958231733352
1.35602,0.024123401484283744
1.3561999999999999,0.021798200591754587
1.35638,0.019608429931033327
1.35656,0.017551187006996812
1.35674,0.015623594220522898
1.35692,0.013822800510109434
1.3571,0.01214598287142107
1.35728,0.010590347759170676
1.3574599999999999,0.00915313237566749
1.35764,0.00783160585041966
1.35782,0.0066230703151438745
1.3579999999999999,0.0055248618784542345
1.35818,0.0045343515045063185
1.35836,0.0036489457998053866
1.3585399999999999,0.002866087712288505
1.35872,0.002183257146756352
1.3589,0.0015979715006407575
1.35908,0.0011077861239841278
1.35926,0.0007102947074486671
1.35944,0.0004031296020536362
1.35962,0.0001839620742564982
1.3598,5.050249987383626e-05
1.35998,5.005002500055463e-07
1.36016,3.1745023967475596e-05
1.3603399999999999,0.0001420643772834968
1.36052,0.0003293262063762965
1.3607,0.0005914374343684516
1.3608799999999999,0.0009263441559928563
1.36106,0.001332031492657353
1.36124,0.0018065234105505634
1.3614199999999999,0.002347882504338968
1.3616,0.00295420974889161
1.36178,0.0036236442213598927
1.36196,0.004354362795859915
1.36214,0.0051445798128819135
1.36232,0.005992546725475297
1.3625,0.006896551724137747
1.36268,0.007854919342278523
1.36286,0.00886601004401069
1.36304,0.0099282197959349
1.3632199999999999,0.011039979624526115
1.3634,0.01219975516062219
1.36358,0.013406046172429232
1.3637599999999999,0.01465738608842051
1.36394,0.015952341511395813
1.36412,0.0172895117248926
1.3643,0.018667528193116446
1.36448,0.020085054055437535
1.36466,0.02154078361648129
1.36484,0.023033441832732402
1.36502,0.024561783796573977
1.3652,0.026124594218579954
1.36538,0.02772068690882181
1.3655599999999999,0.02934890425795141
1.36574,0.03100811671872277
1.36592,0.03269722228856618
1.3660999999999999,0.034415145993838214
1.36628,0.03616083937627586
1.36646,0.037933279982139606
1.3666399999999999,0.03973147085455021
1.36682,0.04155444002943077
1.367,0.04340124003542869
1.3671799999999998,0.045270947398220324
1.36736,0.04716266214951007
1.36754,0.049075507341004784
1.36772,0.051008628563681345
1.3679,0.052961193472558454
1.36808,0.05493239131722371
1.36826,0.05692143247827712
1.3684399999999999,0.05892754800991408
1.36862,0.06094998918878332
1.3688,0.06298802706923405
1.3689799999999999,0.06504095204511559
1.36916,0.06710807341820903
1.36934,0.06918871897335295
1.36952,0.07128223456038164
