x_alaee,lambda_nm,channel,paper_exact_normalized_csca,source_x_px,trace_y_px,nearest_rgb_residual,colour_strength,source_sha256,provenance,gate_role
0.580000,862.068965517,MD,1.960000000,366.560000,266.440000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.580000,862.068965517,EQ,0.509933775,366.560000,329.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.580000,862.068965517,MQ,0.069536424,366.560000,348.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.620000,806.451612903,ED,3.059602649,402.506667,219.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.620000,806.451612903,MD,2.329624724,402.506667,250.493333,84.852074,0.081030212,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.620000,806.451612903,EQ,0.533112583,402.506667,328.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.620000,806.451612903,MQ,0.069536424,402.506667,348.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.660000,757.575757576,ED,2.943708609,438.453333,224.000000,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.660000,757.575757576,MD,2.629713024,438.453333,237.546667,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
0.660000,757.575757576,EQ,0.705871965,438.453333,320.546667,0.000000,1.000000000,c87eade7c0efc0b8149c285e153f46f9384c5a98d9464aa5aa39d392aa94a1b1,arxiv_v2_pdf_page4_render_raster_colour_trace,descriptive_only_not_vector_trace
