x_alaee,x_mie,C_pathB,C_mie_l12,B_ED,M_ED,B_MD,M_MD,B_EQ,M_EQ,B_MQ,M_MQ
0.19236180904522612,0.604322446127725,0.0325543656534724,0.03255439440004033,0.03216014162044582,0.032160172367585754,0.00037796574444840154,0.0003779641437972154,1.620479788002394e-05,1.6204395813809618e-05,5.3490698162897044e-08,5.349284354089333e-08
0.19728643216080402,0.619793605929323,0.03826113313543751,0.03826116813695213,0.03774158669567697,0.037741624207716255,0.000498614847675458,0.0004986128517651381,2.085489415747771e-05,2.0854376779338866e-05,7.669792762131619e-08,7.670069139646625e-08
0.20221105527638192,0.635264765730921,0.044803890759319315,0.044803933056528154,0.04412255162551586,0.04412259704814474,0.0006545561321522995,0.0006545536652671585,2.667395311888708e-05,2.667329106430042e-05,1.0904853227328775e-07,1.090520519570424e-07
0.2071356783919598,0.6507359255325189,0.05228219595432343,0.05228224669831886,0.0513927431346549,0.051392797738939844,0.0008553822753044914,0.0008553792533700492,3.391673814294039e-05,3.3915895357883744e-05,1.5380622108842074e-07,1.5381065108539543e-07
0.21206030150753769,0.6662070853341169,0.06080476655310372,0.06080482700512421,0.059648496348172396,0.05964856153065819,0.001113169343834276,0.0011131656755186642,4.288557286093197e-05,4.288450520286097e-05,2.1528823611209284e-07,2.152937445078039e-07
0.21698492462311558,0.681678245135715,0.07049008464439209,0.07049015617281819,0.06899273523936546,0.06899281251863754,0.0014431123809295918,0.001443107969766805,5.393785134386969e-05,5.3936504898319795e-05,2.991727531698165e-07,2.991795155262989e-07
0.22190954773869345,0.6971494049373128,0.08146705326701018,0.08146713734106208,0.07953481673417068,0.07953490774303978,0.0018643291026550117,0.0018643238505968941,6.7494542637137e-05,6.749285168907744e-05,4.128875473587889e-07,4.1289573630480464e-07
0.22683417085427135,0.7126205647389109,0.09387573264180946,0.09387583082149381,0.09139023734680538,0.09139034381919683,0.0024008793944267645,0.0024008732073659213,8.404980103661087e-05,8.404768562129023e-05,5.660995407173016e-07,5.66109309756377e-07
0.23175879396984925,0.7280917245405089,0.1078681966264319,0.10786831054837549,0.10468018042249913,0.10468030417405765,0.0030830630699614104,0.003083055865946977,0.00010418180472207714,0.00010417916766206044,7.713292492908816e-07,7.713407087999237e-07
0.23668341708542714,0.7435628843421068,0.12360956977612977,0.1236097011351046,0.11953088197760228,0.11953102487897371,0.003949078121283038,0.003949069842391123,0.0001285649577522966,0.00012856168106476233,1.0447194921647955e-06,1.0447326750012938e-06
0.24160804020100501,0.7590340441437048,0.14127933285910227,0.14127948338530907,0.13607279398550748,0.13607295792722954,0.0050471482752559175,0.005047138904397246,0.00015798360411959457,0.00015797954464958242,1.4069942192313314e-06,1.4070090326906778e-06
0.2465326633165829,0.7745052039453028,0.16107302268974902,0.1610731941223322,0.1544395260049323,0.15443971285287617,0.006438264615893587,0.006438254200273095,0.00019334741771658814,0.00019334240181635297,1.884651206530167e-06,1.8846673665758692e-06
0.2514572864321608,0.7899763637469007,0.18320450448795964,0.18320469854581517,0.17476654953214218,0.17476676107249817,0.008199734864993856,0.008199723548520414,0.000235708648859913,0.0002357024658901818,2.5114419636766354e-06,2.5114589063846243e-06
0.2563819095477387,0.8054475235484988,0.20790906680252597,0.2079092851543016,0.19718965460716859,0.19718989248006918,0.01042980056483935,0.010429788632576561,0.0002862814266445323,0.00028627382101835397,3.330203873500903e-06,3.33022063749258e-06
0.2613065326633166,0.8209186833500968,0.2354476874052709,0.23544793164164124,0.22184315519418762,0.221843420815232,0.013253673750187225,0.013253661689018894,0.00034646333709204545,0.0003464539985140555,4.39512380401476e-06,4.395138876280686e-06
0.2662311557788945,0.8363898431516947,0.2661129531281142,0.2661132247410381,0.24885784878419137,0.24885814325336114,0.016831470294089768,0.016831458875256583,0.00041785952006107355,0.00041784807153245245,5.774529772025857e-06,5.774540887940238e-06
0.2711557788944724,0.8518610029532928,0.3002373005616604,0.300237600937591,0.2783587465098619,0.27835907050763575,0.021368690169895503,0.021368680561104497,0.0005023095534933943,0.0005022955365546204,7.554328409620453e-06,7.554332296101844e-06
0.2760804020100503,0.8673321627548908,0.33820449567472943,0.338204826111838,0.3104626026350258,0.3104629563058817,0.02713013338572714,0.027130127303360303,0.0006019174220989599,0.0006019002786696633,9.842231877624022e-06,9.842223926286803e-06
